image_path,label,name,description,image_url
perfume_images/00806_Tonka_25_Eau_de_Parfum.jpg,Le Labo,Tonka 25 Eau de Parfum,"Le Labo's first release in three years, we think Tonka 25 was worth the wait. An addictively dark and warm fragrance, Tonka 25 captures the humid funk of a forest's undergrowth, teeming with the buzz of insects, seeds, and resin. True to form for any Le Labo fragrance, tonka is a part of the composition but not the whole story. The crushed almond heft of tonka bean absolute is detectable in the background, where it infuses the perfume with aromatic woodsmoke, but for us, the real star of the show is the cedar, followed by musk and orange flower.The Atlas cedar in Tonka 25 is spicy, humid, and almost dank, creating an impression of woodrot that's enhanced by a swirl of vegetal musks. For a moment, we're reminded of the animalic topnote of Oud 27, but this is less alien, far more human: warm, enveloping, and very sexy. The furred darkness of the woods and musk at the heart of Tonka 25 holds sway for much of the scent's life, but we'd be remiss in not mentioning the extraordinary orange flower absolute. Orange blossom's gift to Tonka 25 is a green, waxy brightness that feels like a honey candle glowing through a knot of hemp. Finally, enter styrax resin, blessing the drydown with a leathery, smoky richness. If you're looking for something that will comfort and titillate in equal measure, then put Le Labo Tonka 25 on top of your test list. Dark woods expanded by creamy animalic musks, crushed tonka, and smoky resin, backlit by silky orange flower....a glowering Heathcliff in a bottle.Personalize your fragrance:  Enter your custom message or name at checkout and we'll have Le Labo print it on your label.Please note: Complimentary samples available with any product purchase. Please request at checkout in the comments box.",https://static.luckyscent.com/images/products/46841.jpg?width=400&404=product.png
perfume_images/02054_Voleur_de_Roses_Eau_de_Toilette.jpg,L'Artisan Parfumeur,Voleur de Roses Eau de Toilette,"A rose garden after a thunderstorm. Not a manicured, orderly rose garden, but one that has become unruly, with brambles and a quilt of petals upon the ground. An almost forgotten garden. A place that guards its secrets. You can smell the rich, wet earth and the lightning-swept air and an abundance of roses in various stages of bloom. You can sense the intrigue that clings like an unseen mist. An unforgettable marriage of rose and patchouli, with just a hint of plum. Regal, enigmatic and absolutely gorgeous.",https://static.luckyscent.com/images/products/15207.jpg?width=400&404=product.png
perfume_images/01895_Vetiver_Dance_Eau_de_Toilette.jpg,Tauer Perfumes,Vetiver Dance Eau de Toilette,"There are perfumes we love, perfumes we admire, perfumes we can't get enough of...and then there are those very few that render us jaw-on-the-floor speechless.Â  Swiss perfumer Andy Tauer's new Vetiver Dance is one of those rare beauties, a stunningly gorgeous and emotional fragrance built around the raw beauty of vetiver.Â  Tauer's fascination with natural vetiver oil took him on a yearlong journey to bring this perfume to life, and he's created a fragrant shrine celebrating its dark earthiness and joyous sensuality.Â  Scenting this holy temple and bringing sunlight to all the corners and are spicy green (clary sage leaf), crisp grapefruit peel oil and rose absolute, all swirling around the dark vetiver oil from Java.Â  Freshly cracked black pepper, ambergris and cedar are always close by, dancing in and out of this fragrance as it constantly morphs and evolves on your skin.Â  Vetiver Dance is both dark and light, a masterwork of vetiver obsession and a perfect choice for a man or woman looking to add something truly remarkable (and beautiful) to their fragrance lineup.",https://static.luckyscent.com/images/products/31409.jpg?width=400&404=product.png
perfume_images/01501_Vetiver_Veritas_Eau_de_Parfum.jpg,HEELEY,Vetiver Veritas Eau de Parfum,"Vetiver Veritas is the first scent in James Heeley's new collection of 100% Natural Eau de Parfum.Over a wild, majestic landscape ripened by a long summer's sun, whispers of golden grass conceal an unexpected surprise. The formula contains over 90% of Haitian vetiver of exceptional quality, using a base of organic alcohol made from rye and lavender. Vetiver Veritas contains 100 % natural ingredients, of which 72% are from organic origin.Vetiver Veritas inverts the olfactory pyramid, whereby typical notes of dry grass and clean earth, firstly punctuated of notes of fresh mint, will surprisingly develop into a note of fresh grapefruit. Unlike many 100% natural fragrances, Vetiver Veritas fulfills its promise of a remarkable ""sillage"" and a long lasting scent.",https://static.luckyscent.com/images/products/31522.jpg?width=400&404=product.png
perfume_images/00232_Crema_di_Latte_Eau_de_Parfum.jpg,Hilde Soliani,Crema di Latte Eau de Parfum,"Have your cake and eat it too! In fact, why not wear it?  Crema Di Latte, the latest offering from Hilde Soliani, satisfies the most ardent gourmand lover's craving for something smooth, fluffy and delectable. Based on the Sicilian pastry-filling composed of milk, sugar, eggs, vanilla, cinnamon and lemon zest, this new addition shows that Hilde continues to be a master of gourmand perfumery.   A truly mouth-watering interpretation, Crema di Latte makes our mouthes water as the scent introduces itself with delicious creamy notes, settling softly into the skin as it beckons passers-by to have a nibble. Images of warm milk in porcelain mugs on a cold winter night will dance in your head. Indulge in the sweet subtleties of this creamy, confectionary delight-- lusciously whipped to perfection.  No empty calories here...",https://static.luckyscent.com/images/products/46624.jpg?width=400&404=product.png
perfume_images/00714_Paper_Soap_Eau_de_Parfum.jpg,J-Scent,Paper Soap Eau de Parfum,"A nostalgic scent with a fresh feel and creamy sweetness. You will first smell the freshness of lavender and aldehyde, then combined with the sweetness of rose, jasmine, and lily of the valley, they will harmonize with a gentle musk, which will open the gate to nostalgic memories. What We Think The most perfectly clean, white bar of Ivory soap you can imagine. Just out of the shower freshness that lasts for hours.",https://static.luckyscent.com/images/products/814004.jpg?width=400&404=product.png
perfume_images/00578_Cairo_Eau_de_Parfum.jpg,Penhaligons,Cairo Eau de Parfum,"The sun of an ancient city rising slowly over the citadel, like gold to fill the sky. Now, the early morning murmur of life is about to burst through in a Mediterranean melting-pot home to a thousand minarets and a thousand fragrant gems. This is the aroma of Cairo, a breathtakingly gorgeous new scent from Penhaligon's that blends exotic and modern together in a perfect tribute to a metropolis that has housed both gods and humans for untold millenia. Damascan Rose is macerated in an abundance of woods and spices. An ornate and sumptuous composition that echos with saffron and incense, per fumum, the perfume of the gods. Patchouli and vanilla sign the base with the familiar reassurance of dusk. It's a rich, sweepingly regal scent- a perfect tribute to the world's original eternal city.",https://static.luckyscent.com/images/products/441051.jpg?width=400&404=product.png
perfume_images/01029_Midnight_Special_Eau_de_Parfum.jpg,Ex Nihilo,Midnight Special Eau de Parfum,"In the enchanting world of traditional Arabian perfumery, a mukhallat is a perfume created from a blend of pure fragrance oils, perfected over centuries but still open to the creator's personal touch. With Midnight Special, Olivier Pescheux transposes the mukhallat to a more Parisian format- the eau de parfum- keeping the focus on exceptional natural materials, but re-imagining it as a nocturnal elixir, with traditional elements of oud, rose, patchouli and spice given a cosmopolitan twist with a unique accord of rose jelly. The results are dynamic- dark, sensually smoky oud and luscious florals shine through, but the mouthwatering jelly accord, with its strong grapefruit facets, invigorates and energizes the heart notes, making an ancient formula feel vitally youthful. And a deep, rich and evocative base of oud and smooth, balanced vanilla lasts for untold hours, ensuring that the wearer will be turning heads well into the morning. Exotic, stylish and drop dead sexy, Midnight Special is a cross-cultural knockout that may inspire you to do some nighttime mingling of your own.",https://static.luckyscent.com/images/products/72019.jpg?width=400&404=product.png
perfume_images/01879_Vanitas_Eau_de_Parfum.jpg,Profumum,Vanitas Eau de Parfum,"Just what we're always on the look-out for  a vanilla scent that is sophisticated and complex, but still delicious and comforting. Vanitas opens with a chilly dose of myrrh, which is almost medicinal at first, but as it warms on the skin, its deep, resinous sweetness emerges and blends with the creamy warmth of truly excellent vanilla. Delicate orange flower enhances the high notes, and sandalwood adds a dark golden bass line  but the heart of this accord is the exquisite pairing of vanilla and myrrh. The myrrh adds mystery to all the luscious qualities we love in vanilla and brings in a dark sweetness that is not at all food like. Happily, it adds just enough of a cool edge to keep things intriguing, but not enough to overpower our beloved vanilla.  Soft, enveloping and tantalizing - this is the grown-up vanilla we've dreamed about.",https://static.luckyscent.com/images/products/33926.jpg?width=400&404=product.png
perfume_images/00432_Vetiver_Nocturne_Absolu_Extrait_de_Parfum.jpg,Bortnikoff,Vetiver Nocturne Absolu Extrait de Parfum,"Vetiver Nocturne Absolu takes the majesty of the original Vetiver Nocturne to a new and intensified level. This uncompromisingly regal and mysterious creation is rich, enticing and captivating.The earthy, green and complex scent of vetiver is blended with the highest quality supporting ingredients for a perfume which redefines this well know fragrance note and frames it in a way which elevates it to the resplendent position which it truly merits.The long cherished beauty of neroli provides a burst of freshness in the opening. Indonesian and Indian Vetiver combine for a tantalizingly rich and naturalistic accord. Jasmine Sambac in the heart of the scent is combined with the unique addition of sandalwood oil which has been infused with champaca flowers and leaves. In the base of the scent, smooth and luxurious Bengalian and Indian sandalwood meet grey and white amber and oak moss for a classic foundation. The exotic sensuousness of sweet oud from Trat blends with precious myrrh to provide an intriguingly dark and opulent undertone.The meticulous search for the perfect ingredients and the painstaking distillation processes used by perfumer Dmitry Bortnikoff mean that, like the original Vetiver Nocturne, this fragrance will surprise and amaze those who felt that they had understood all that vetiver has to offer.  Furnished with the ideal surrounding accords, this long established perfume ingredient now reveals hitherto undiscovered facets of its complex olfactory personality.",https://static.luckyscent.com/images/products/804015.jpg?width=400&404=product.png
perfume_images/00755_Neroli_Portofino_Travel_Atomizer.jpg,TOM FORD Private Blend,Neroli Portofino Travel Atomizer,"Like a bespoke white shirt, Neroli Portofino takes the classic, citrus-driven lightness of the eau de cologne formula and amps up the quality of its ingredients and, as a result, their fit on the skin.Enjoy this beloved fragrance in a unique blue and gold-tone atomizer with a magnetic closure.",https://static.luckyscent.com/images/products/635073.jpg?width=400&404=product.png
perfume_images/00402_Velvet_Amber.jpg,Fragrance du Bois,Velvet Amber,"Velvet Amber can be defined as a fresh spicy woody fragrance. It opens with spicy citrus top note coming from bergamot, geranium, lemon and cardamom, then a very sophisticated heart note mixes the charm of rose with saffron, leather and cypriol. The strong cypriol accord stays in the base note and creates a great synergetic long lasting well composed base that includes sandalwood, patchouli, vanilla, musk, Oud oil and of course amber.",https://static.luckyscent.com/images/products/757037.jpg?width=400&404=product.png
perfume_images/01573_Fate_Woman.jpg,Amouage,Fate Woman,"Awarded 5 Stars (Masterpiece) by Luca TurinHow time flies. It seems only yesterday (actually five full years) that Christopher Chong took over Amouage's art direction and propelled this Omani firm, then known chiefly for its classic no-expense-spared Gold, into the first rank of perfumery. Chong is that rare bird, a natural perfumery art-director, who knows what he wants and will not give up until he finally smells it. In a recent interview with Style.com/Arabia, he said that Fate was a loud fragrance, so one expects a massively-built monster like the wonderful Ubar reissue in 2009. The surprise begins with the first puff from the spray: a fresh, radiant, powdery advance guard briefly fills the room. Seconds later, you are faced with one of the most intricate and beguiling fragrances in years. Nothing this big, complex and beautiful has been done since the first Boucheron. Though the top has a Guerlain-like appetizing feel, Fate borrows its core from Opium, i.e., woody-balsamic with an emphatic dose of the cool minty note that separates it from the merely warm, dusky Cabochard-Cinnabar style. Opium's virtue was its novel, instantly recognizable tune, of which we eventually tired. But don't let the reference put you off. Fate is to Opium what Mitsouko was to Coty's Chypre: a transfiguration. The central structure is deep in there, now cloaked in a cloud of radiant dust borrowed from the unstructured opulence of Gold, plusa brilliant toucha dry, fresh cigar-box cedar note to guard against excessive sweetness. Loud? Possibly, but comfortably so, without harshness or distortion. Like very few fragrances, Fate delivers the rush of physical glee you get when you sit in the front row of the stalls and a great orchestra begins to play. Just don't wear it to supper.  Luca Turin, Style.com/Arabia",https://static.luckyscent.com/images/products/41848.jpg?width=400&404=product.png
perfume_images/00719_Fumerie_Turque_Eau_de_Parfum.jpg,Serge Lutens,Fumerie Turque Eau de Parfum,"An eagerly-awaited inclusion in the exports line (aren't they all?), Fumerie Turque evocatively weaves references to the honeyed tobaccos smoked in the seraglios of the Ottoman empire and the exotic cigarettes flaunted by the GarÃ§onnes in the gender-bending 1920s. It can't be too much of a stretch to envision Fumerie Turque as Serge Lutens' tribute to Caron's trailblazing Tabac Blond  albeit with his trademark Oriental twist.Smokey wisps of honeyed, fruity tobacco rise from a smooth, vanilla-flavored blend of tonka bean, styrax and Peru balsam, conjuring lazy winter afternoons smoking a hookah and nibbling rose-scented Turkish delights in a leather-paneled room. The rich, floral, faintly animal odor of beeswax rises from floors strewn with ornate rugs and polished daybeds. The scent of late-blooming jasmine wafts up from the palace gardens. Through the intricate wooden lace of a musharabieh, the Bosphorus glints in the sunset. Intoxicating and comforting, Fumerie Turque is the ultimate Orientalist reverie in a bottle. Succumb. What We Think Sweet, fresh pipe tobacco with surprisingly lush florals- a truly romantic unisex tobacco scent.",https://static.luckyscent.com/images/products/36130.jpg?width=400&404=product.png
